Quad-ridged horn antenna locations,,,,,,,,,
An,  X (in)  ,  Y (in)  ,  Z (in)  ,Horiz dist (in),Az Center (deg),Aper Az (deg),Aper Elev (deg),Ant size (in),description
1,38.2481,0,-76.5,38.2481,0,0,-10,37.277,topBottom
2,88,0,-196.0001,88,0,0,-10,37.277,second
3,88,0,-224.7482,88,0,0,-10,37.277,third
4,88,0,-253.5001,88,0,0,-10,37.277,fourth
5,39.5984,10.7008,-51.5985,41.0188,15.12202474,15.12202474,-10,37.277,topTop
6,85,23,-196.0001,88.0568,15.14098384,15.14098384,-10,37.277,second
7,85,23,-224.7482,88.0568,15.14098384,15.14098384,-10,37.277,third
8,85,23,-253.5001,88.0568,15.14098384,15.14098384,-10,37.277,fourth
9,31.6969,18.3032,-76.5,36.6019,30.00404833,30.00404833,-10,37.277,topBottom
10,76.2559,44.0788,-196.0001,88.079,30.02953979,30.02953979,-10,37.277,second
11,76.2559,44.0788,-224.7482,88.079,30.02953979,30.02953979,-10,37.277,third
12,76.2559,44.0788,-253.5001,88.079,30.02953979,30.02953979,-10,37.277,fourth
13,29.0669,28.9449,-51.5985,41.0207,44.87950598,44.87950598,-10,37.277,topTop
14,62.4174,62.1103,-196.0001,88.0546,44.85870213,44.85870213,-10,37.277,second
15,62.4174,62.1103,-224.7482,88.0546,44.85870213,44.85870213,-10,37.277,third
16,62.4174,62.1103,-253.5001,88.0546,44.85870213,44.85870213,-10,37.277,fourth
17,19.126,33.126,-76.5,38.251,59.99909846,59.99909846,-10,37.277,topBottom
18,44,76.2087,-196.0001,87.9987,59.99950011,59.99950011,-10,37.277,second
19,44,76.2087,-224.7482,87.9987,59.99950011,59.99950011,-10,37.277,third
20,44,76.2087,-253.5001,87.9987,59.99950011,59.99950011,-10,37.277,fourth
21,10.5354,39.6457,-51.5985,41.0217,75.11822864,75.11822864,-10,37.277,topTop
22,22.5827,85.1103,-196.0001,88.0553,75.13986587,75.13986587,-10,37.277,second
23,22.5827,85.1103,-224.7482,88.0553,75.13986587,75.13986587,-10,37.277,third
24,22.5827,85.1103,-253.5001,88.0553,75.13986587,75.13986587,-10,37.277,fourth
25,0,36.6024,-76.5,36.6024,90,90,-10,37.277,topBottom
26,-0.0433,88.0788,-196.0001,88.0788,90.0281669,90.0281669,-10,37.277,second
27,-0.0433,88.0788,-224.7482,88.0788,90.0281669,90.0281669,-10,37.277,third
28,-0.0433,88.0788,-253.5001,88.0788,90.0281669,90.0281669,-10,37.277,fourth
29,-10.5354,39.6457,-51.5985,41.0217,104.8817714,104.8817714,-10,37.277,topTop
30,-22.5827,85.1103,-196.0001,88.0553,104.8601341,104.8601341,-10,37.277,second
31,-22.5827,85.1103,-224.7482,88.0553,104.8601341,104.8601341,-10,37.277,third
32,-22.5827,85.1103,-253.5001,88.0553,104.8601341,104.8601341,-10,37.277,fourth
33,-19.126,33.126,-76.5,38.251,120.0009015,120.0009015,-10,37.277,topBottom
34,-44,76.2087,-196.0001,87.9987,120.0004999,120.0004999,-10,37.277,second
35,-44,76.2087,-224.7482,87.9987,120.0004999,120.0004999,-10,37.277,third
36,-44,76.2087,-253.5001,87.9987,120.0004999,120.0004999,-10,37.277,fourth
37,-29.0669,28.9449,-51.5985,41.0207,135.120494,135.120494,-10,37.277,topTop
38,-62.4174,62.1103,-196.0001,88.0546,135.1412979,135.1412979,-10,37.277,second
39,-62.4174,62.1103,-224.7482,88.0546,135.1412979,135.1412979,-10,37.277,third
40,-62.4174,62.1103,-253.5001,88.0546,135.1412979,135.1412979,-10,37.277,fourth
41,-31.7008,18.2992,-76.5,36.6033,150.0044266,150.0044266,-10,37.277,topBottom
42,-76.2993,44,-196.0001,88.0771,150.028969,150.028969,-10,37.277,second
43,-76.2993,44,-224.7482,88.0771,150.028969,150.028969,-10,37.277,third
44,-76.2993,44,-253.5001,88.0771,150.028969,150.028969,-10,37.277,fourth
45,-39.5984,10.7008,-51.5985,41.0188,164.8779753,164.8779753,-10,37.277,topTop
46,-85,23,-196.0001,88.0568,164.8590162,164.8590162,-10,37.277,second
47,-85,23,-224.7482,88.0568,164.8590162,164.8590162,-10,37.277,third
48,-85,23,-253.5001,88.0568,164.8590162,164.8590162,-10,37.277,fourth
49,-38.2481,0,-76.5,38.2481,180,180,-10,37.277,topBottom
50,-88,0,-196.0001,88,180,180,-10,37.277,second
51,-88,0,-224.7482,88,180,180,-10,37.277,third
52,-88,0,-253.5001,88,180,180,-10,37.277,fourth
53,-39.5984,-10.7008,-51.5985,41.0188,-164.8779753,-164.8779753,-10,37.277,topTop
54,-85,-23,-196.0001,88.0568,-164.8590162,-164.8590162,-10,37.277,second
55,-85,-23,-224.7482,88.0568,-164.8590162,-164.8590162,-10,37.277,third
56,-85,-23,-253.5001,88.0568,-164.8590162,-164.8590162,-10,37.277,fourth
